#    L    TT             EE             BB             TE          
   181   0.467679E+04   0.687670E+00   0.467000E-04  -0.302158E+02
   182   0.469661E+04   0.678829E+00   0.458814E-04  -0.295103E+02
   183   0.471594E+04   0.670117E+00   0.451008E-04  -0.287816E+02
   184   0.473495E+04   0.661605E+00   0.443575E-04  -0.280288E+02
   185   0.475355E+04   0.653438E+00   0.436508E-04  -0.272542E+02
   186   0.477137E+04   0.645469E+00   0.429798E-04  -0.264548E+02
   187   0.478909E+04   0.637836E+00   0.423439E-04  -0.256319E+02
   188   0.480633E+04   0.630521E+00   0.417424E-04  -0.247872E+02
   189   0.482302E+04   0.623555E+00   0.411745E-04  -0.239191E+02
   190   0.483962E+04   0.616987E+00   0.406395E-04  -0.230298E+02
   191   0.485537E+04   0.610836E+00   0.401366E-04  -0.221163E+02
   192   0.487081E+04   0.605119E+00   0.396652E-04  -0.211808E+02
   193   0.488570E+04   0.599877E+00   0.392245E-04  -0.202249E+02
   194   0.490027E+04   0.595136E+00   0.388137E-04  -0.192461E+02
   195   0.491431E+04   0.590928E+00   0.384322E-04  -0.182469E+02
   196   0.492781E+04   0.587287E+00   0.380791E-04  -0.172263E+02
   197   0.494092E+04   0.584252E+00   0.377539E-04  -0.161859E+02
   198   0.495357E+04   0.581843E+00   0.374557E-04  -0.151249E+02
   199   0.496576E+04   0.580093E+00   0.371838E-04  -0.140440E+02
   200   0.497750E+04   0.579026E+00   0.369375E-04  -0.129440E+02
   201   0.498871E+04   0.578699E+00   0.367160E-04  -0.118241E+02
   202   0.499946E+04   0.579116E+00   0.365187E-04  -0.106857E+02
   203   0.500968E+04   0.580331E+00   0.363447E-04  -0.952791E+01
   204   0.501929E+04   0.582365E+00   0.361932E-04  -0.835376E+01
   205   0.502845E+04   0.585257E+00   0.360635E-04  -0.716090E+01
   206   0.503701E+04   0.589043E+00   0.359549E-04  -0.595051E+01
   207   0.504510E+04   0.593741E+00   0.358666E-04  -0.472296E+01
   208   0.505252E+04   0.599398E+00   0.357978E-04  -0.347871E+01
   209   0.505940E+04   0.606035E+00   0.357478E-04  -0.221806E+01
   210   0.506575E+04   0.613699E+00   0.357157E-04  -0.941809E+00
   211   0.507156E+04   0.622418E+00   0.357009E-04   0.350041E+00
   212   0.507670E+04   0.632216E+00   0.357026E-04   0.165663E+01
   213   0.508137E+04   0.643136E+00   0.357200E-04   0.297808E+01
   214   0.508543E+04   0.655166E+00   0.357523E-04   0.431325E+01
   215   0.508896E+04   0.668496E+00   0.357988E-04   0.566149E+01
   216   0.509188E+04   0.682936E+00   0.358588E-04   0.702337E+01
   217   0.509434E+04   0.698641E+00   0.359314E-04   0.839697E+01
   218   0.509619E+04   0.715605E+00   0.360160E-04   0.978259E+01
   219   0.509750E+04   0.733826E+00   0.361116E-04   0.111813E+02
   220   0.509827E+04   0.753448E+00   0.362177E-04   0.125886E+02
   221   0.509851E+04   0.774394E+00   0.363333E-04   0.140069E+02
   222   0.509821E+04   0.796809E+00   0.364579E-04   0.154348E+02
   223   0.509723E+04   0.820616E+00   0.365905E-04   0.168730E+02
   224   0.509585E+04   0.845810E+00   0.367305E-04   0.183180E+02
   225   0.509386E+04   0.872537E+00   0.368770E-04   0.197728E+02
   226   0.509133E+04   0.900793E+00   0.370293E-04   0.212337E+02
   227   0.508819E+04   0.930575E+00   0.371867E-04   0.227023E+02
   228   0.508458E+04   0.961880E+00   0.373484E-04   0.241771E+02
   229   0.508043E+04   0.994778E+00   0.375136E-04   0.256569E+02
   230   0.507567E+04   0.102927E+01   0.376816E-04   0.271423E+02
   231   0.507029E+04   0.106541E+01   0.378515E-04   0.286327E+02
   232   0.506445E+04   0.110315E+01   0.380227E-04   0.301268E+02
   233   0.505806E+04   0.114268E+01   0.381944E-04   0.316230E+02
   234   0.505098E+04   0.118386E+01   0.383658E-04   0.331223E+02
   235   0.504343E+04   0.122677E+01   0.385362E-04   0.346231E+02
   236   0.503527E+04   0.127139E+01   0.387048E-04   0.361256E+02
   237   0.502656E+04   0.131780E+01   0.388708E-04   0.376284E+02
   238   0.501731E+04   0.136607E+01   0.390334E-04   0.391315E+02
   239   0.500759E+04   0.141605E+01   0.391920E-04   0.406343E+02
   240   0.499718E+04   0.146781E+01   0.393457E-04   0.421345E+02
   241   0.498637E+04   0.152149E+01   0.394938E-04   0.436331E+02
   242   0.497502E+04   0.157694E+01   0.396355E-04   0.451293E+02
   243   0.496312E+04   0.163430E+01   0.397701E-04   0.466218E+02
   244   0.495067E+04   0.169351E+01   0.398968E-04   0.481113E+02
   245   0.493768E+04   0.175462E+01   0.400148E-04   0.495950E+02
   246   0.492421E+04   0.181764E+01   0.401234E-04   0.510744E+02
