#    L    TT             EE             TE             PP             TP          
   156   0.601583E+04   0.133558E+01  -0.592471E+02   0.414463E+07   0.464735E+04
   157   0.605686E+04   0.132609E+01  -0.590809E+02   0.411995E+07   0.460404E+04
   158   0.609751E+04   0.131622E+01  -0.588814E+02   0.409547E+07   0.456139E+04
   159   0.613777E+04   0.130581E+01  -0.586487E+02   0.407119E+07   0.451939E+04
   160   0.617773E+04   0.129501E+01  -0.583812E+02   0.404712E+07   0.447801E+04
   161   0.621738E+04   0.128392E+01  -0.580802E+02   0.402326E+07   0.443724E+04
   162   0.625663E+04   0.127238E+01  -0.577458E+02   0.399959E+07   0.439707E+04
   163   0.629563E+04   0.126047E+01  -0.573765E+02   0.397613E+07   0.435747E+04
   164   0.633409E+04   0.124827E+01  -0.569736E+02   0.395286E+07   0.431844E+04
   165   0.637230E+04   0.123572E+01  -0.565348E+02   0.392979E+07   0.427995E+04
   166   0.641009E+04   0.122297E+01  -0.560617E+02   0.390692E+07   0.424199E+04
   167   0.644755E+04   0.120979E+01  -0.555548E+02   0.388424E+07   0.420454E+04
   168   0.648445E+04   0.119657E+01  -0.550120E+02   0.386176E+07   0.416758E+04
   169   0.652093E+04   0.118302E+01  -0.544331E+02   0.383947E+07   0.413110E+04
   170   0.655699E+04   0.116936E+01  -0.538195E+02   0.381737E+07   0.409509E+04
   171   0.659247E+04   0.115560E+01  -0.531691E+02   0.379545E+07   0.405952E+04
   172   0.662745E+04   0.114167E+01  -0.524832E+02   0.377373E+07   0.402438E+04
   173   0.666185E+04   0.112757E+01  -0.517618E+02   0.375219E+07   0.398966E+04
   174   0.669582E+04   0.111361E+01  -0.510048E+02   0.373083E+07   0.395533E+04
   175   0.672926E+04   0.109949E+01  -0.502114E+02   0.370966E+07   0.392138E+04
   176   0.676205E+04   0.108545E+01  -0.493816E+02   0.368867E+07   0.388780E+04
   177   0.679431E+04   0.107141E+01  -0.485169E+02   0.366787E+07   0.385457E+04
   178   0.682597E+04   0.105762E+01  -0.476159E+02   0.364724E+07   0.382169E+04
   179   0.685704E+04   0.104379E+01  -0.466786E+02   0.362678E+07   0.378915E+04
   180   0.688766E+04   0.103014E+01  -0.457065E+02   0.360651E+07   0.375695E+04
