#    L    TT             EE             BB             TE             PP             TP             EP          
    72   0.254182E+04   0.464778E+00   0.117886E-01  -0.936573E+01   0.154176E-06   0.758479E-03  -0.842432E-06
    73   0.257387E+04   0.482295E+00   0.118830E-01  -0.997887E+01   0.153243E-06   0.746366E-03  -0.930710E-06
    74   0.260621E+04   0.500026E+00   0.119713E-01  -0.106078E+02   0.152310E-06   0.734690E-03  -0.997798E-06
    75   0.263898E+04   0.517972E+00   0.120535E-01  -0.112512E+02   0.151375E-06   0.723420E-03  -0.102798E-05
    76   0.267215E+04   0.536124E+00   0.121296E-01  -0.119083E+02   0.150440E-06   0.712517E-03  -0.101086E-05
    77   0.270575E+04   0.554476E+00   0.121995E-01  -0.125792E+02   0.149505E-06   0.701905E-03  -0.957263E-06
    78   0.273980E+04   0.573060E+00   0.122634E-01  -0.132652E+02   0.148570E-06   0.691501E-03  -0.883329E-06
    79   0.277410E+04   0.591823E+00   0.123211E-01  -0.139627E+02   0.147635E-06   0.681222E-03  -0.805163E-06
    80   0.280874E+04   0.610775E+00   0.123727E-01  -0.146729E+02   0.146702E-06   0.670983E-03  -0.738860E-06
    81   0.284361E+04   0.629869E+00   0.124181E-01  -0.153965E+02   0.145771E-06   0.660729E-03  -0.697552E-06
    82   0.287879E+04   0.649118E+00   0.124573E-01  -0.161320E+02   0.144842E-06   0.650508E-03  -0.682575E-06
    83   0.291423E+04   0.668488E+00   0.124904E-01  -0.168787E+02   0.143915E-06   0.640398E-03  -0.692318E-06
    84   0.295003E+04   0.687967E+00   0.125174E-01  -0.176342E+02   0.142991E-06   0.630476E-03  -0.725172E-06
    85   0.298606E+04   0.707519E+00   0.125382E-01  -0.183993E+02   0.142071E-06   0.620817E-03  -0.779531E-06
    86   0.302242E+04   0.727150E+00   0.125529E-01  -0.191725E+02   0.141154E-06   0.611482E-03  -0.852787E-06
    87   0.305933E+04   0.746824E+00   0.125615E-01  -0.199531E+02   0.140241E-06   0.602461E-03  -0.938329E-06
    88   0.309632E+04   0.766556E+00   0.125641E-01  -0.207412E+02   0.139332E-06   0.593726E-03  -0.102855E-05
    89   0.313377E+04   0.786329E+00   0.125607E-01  -0.215384E+02   0.138427E-06   0.585251E-03  -0.111584E-05
    90   0.317151E+04   0.806104E+00   0.125515E-01  -0.223419E+02   0.137526E-06   0.577010E-03  -0.119262E-05
    91   0.320947E+04   0.825870E+00   0.125363E-01  -0.231526E+02   0.136630E-06   0.568980E-03  -0.125277E-05
    92   0.324778E+04   0.845610E+00   0.125155E-01  -0.239695E+02   0.135738E-06   0.561149E-03  -0.129616E-05
    93   0.328646E+04   0.865312E+00   0.124890E-01  -0.247927E+02   0.134851E-06   0.553513E-03  -0.132413E-05
    94   0.332527E+04   0.884934E+00   0.124570E-01  -0.256204E+02   0.133968E-06   0.546065E-03  -0.133802E-05
    95   0.336445E+04   0.904473E+00   0.124197E-01  -0.264533E+02   0.133090E-06   0.538798E-03  -0.133919E-05
    96   0.340369E+04   0.923910E+00   0.123770E-01  -0.272905E+02   0.132217E-06   0.531706E-03  -0.132897E-05
    97   0.344344E+04   0.943225E+00   0.123293E-01  -0.281311E+02   0.131349E-06   0.524784E-03  -0.130871E-05
    98   0.348348E+04   0.962408E+00   0.122765E-01  -0.289727E+02   0.130486E-06   0.518024E-03  -0.127974E-05
    99   0.352365E+04   0.981417E+00   0.122188E-01  -0.298183E+02   0.129627E-06   0.511421E-03  -0.124341E-05
   100   0.356420E+04   0.100025E+01   0.121563E-01  -0.306632E+02   0.128774E-06   0.504968E-03  -0.120106E-05
   101   0.360495E+04   0.101896E+01   0.120892E-01  -0.315103E+02   0.127926E-06   0.498659E-03  -0.115402E-05
   102   0.364630E+04   0.103739E+01   0.120176E-01  -0.323571E+02   0.127083E-06   0.492489E-03  -0.110362E-05
   103   0.368764E+04   0.105562E+01   0.119415E-01  -0.332044E+02   0.126245E-06   0.486450E-03  -0.105122E-05
   104   0.372927E+04   0.107363E+01   0.118611E-01  -0.340490E+02   0.125413E-06   0.480536E-03  -0.998131E-06
   105   0.377111E+04   0.109137E+01   0.117765E-01  -0.348922E+02   0.124586E-06   0.474742E-03  -0.945702E-06
   106   0.381325E+04   0.110888E+01   0.116879E-01  -0.357332E+02   0.123765E-06   0.469062E-03  -0.895262E-06
   107   0.385539E+04   0.112602E+01   0.115953E-01  -0.365704E+02   0.122949E-06   0.463488E-03  -0.848146E-06
   108   0.389796E+04   0.114287E+01   0.114989E-01  -0.374044E+02   0.122139E-06   0.458015E-03  -0.805686E-06
   109   0.394076E+04   0.115933E+01   0.113988E-01  -0.382335E+02   0.121334E-06   0.452637E-03  -0.769214E-06
   110   0.398370E+04   0.117542E+01   0.112951E-01  -0.390562E+02   0.120535E-06   0.447348E-03  -0.740061E-06
   111   0.402686E+04   0.119119E+01   0.111879E-01  -0.398738E+02   0.119742E-06   0.442143E-03  -0.719230E-06
   112   0.407024E+04   0.120657E+01   0.110774E-01  -0.406854E+02   0.118955E-06   0.437018E-03  -0.706403E-06
   113   0.411390E+04   0.122156E+01   0.109638E-01  -0.414892E+02   0.118174E-06   0.431973E-03  -0.700936E-06
   114   0.415769E+04   0.123609E+01   0.108472E-01  -0.422844E+02   0.117399E-06   0.427007E-03  -0.702186E-06
   115   0.420177E+04   0.125028E+01   0.107277E-01  -0.430708E+02   0.116630E-06   0.422117E-03  -0.709507E-06
   116   0.424589E+04   0.126393E+01   0.106056E-01  -0.438474E+02   0.115866E-06   0.417304E-03  -0.722257E-06
   117   0.429035E+04   0.127711E+01   0.104809E-01  -0.446132E+02   0.115108E-06   0.412564E-03  -0.739791E-06
   118   0.433501E+04   0.128994E+01   0.103538E-01  -0.453690E+02   0.114356E-06   0.407898E-03  -0.761467E-06
   119   0.437970E+04   0.130230E+01   0.102245E-01  -0.461121E+02   0.113610E-06   0.403303E-03  -0.786642E-06
   120   0.442457E+04   0.131402E+01   0.100932E-01  -0.468425E+02   0.112869E-06   0.398779E-03  -0.814675E-06
   121   0.446947E+04   0.132540E+01   0.995990E-02  -0.475599E+02   0.112134E-06   0.394323E-03  -0.844922E-06
   122   0.451447E+04   0.133614E+01   0.982487E-02  -0.482634E+02   0.111406E-06   0.389935E-03  -0.876742E-06
   123   0.455956E+04   0.134631E+01   0.968823E-02  -0.489528E+02   0.110682E-06   0.385614E-03  -0.909493E-06
   124   0.460474E+04   0.135598E+01   0.955014E-02  -0.496250E+02   0.109965E-06   0.381357E-03  -0.942535E-06
   125   0.464994E+04   0.136508E+01   0.941076E-02  -0.502819E+02   0.109253E-06   0.377164E-03  -0.975227E-06
   126   0.469521E+04   0.137367E+01   0.927023E-02  -0.509227E+02   0.108547E-06   0.373033E-03  -0.100693E-05
   127   0.474049E+04   0.138161E+01   0.912873E-02  -0.515465E+02   0.107847E-06   0.368962E-03  -0.103699E-05
   128   0.478576E+04   0.138903E+01   0.898639E-02  -0.521521E+02   0.107153E-06   0.364952E-03  -0.106479E-05
   129   0.483110E+04   0.139580E+01   0.884338E-02  -0.527389E+02   0.106464E-06   0.360999E-03  -0.108967E-05
   130   0.487643E+04   0.140190E+01   0.869985E-02  -0.533057E+02   0.105781E-06   0.357104E-03  -0.111101E-05
   131   0.492174E+04   0.140749E+01   0.855595E-02  -0.538539E+02   0.105103E-06   0.353264E-03  -0.112830E-05
   132   0.496712E+04   0.141241E+01   0.841180E-02  -0.543805E+02   0.104432E-06   0.349479E-03  -0.114167E-05
   133   0.501240E+04   0.141673E+01   0.826751E-02  -0.548875E+02   0.103766E-06   0.345749E-03  -0.115139E-05
   134   0.505766E+04   0.142047E+01   0.812319E-02  -0.553703E+02   0.103105E-06   0.342073E-03  -0.115774E-05
   135   0.510289E+04   0.142354E+01   0.797895E-02  -0.558319E+02   0.102450E-06   0.338451E-03  -0.116099E-05
   136   0.514796E+04   0.142595E+01   0.783491E-02  -0.562684E+02   0.101801E-06   0.334882E-03  -0.116140E-05
   137   0.519300E+04   0.142777E+01   0.769118E-02  -0.566820E+02   0.101157E-06   0.331366E-03  -0.115925E-05
   138   0.523794E+04   0.142893E+01   0.754787E-02  -0.570709E+02   0.100519E-06   0.327902E-03  -0.115481E-05
   139   0.528263E+04   0.142958E+01   0.740509E-02  -0.574345E+02   0.998856E-07   0.324489E-03  -0.114835E-05
   140   0.532736E+04   0.142949E+01   0.726296E-02  -0.577732E+02   0.992578E-07   0.321128E-03  -0.114014E-05
   141   0.537184E+04   0.142874E+01   0.712158E-02  -0.580848E+02   0.986354E-07   0.317818E-03  -0.113046E-05
   142   0.541629E+04   0.142741E+01   0.698107E-02  -0.583700E+02   0.980182E-07   0.314559E-03  -0.111957E-05
   143   0.546063E+04   0.142549E+01   0.684154E-02  -0.586285E+02   0.974063E-07   0.311349E-03  -0.110775E-05
   144   0.550471E+04   0.142292E+01   0.670311E-02  -0.588596E+02   0.967995E-07   0.308189E-03  -0.109526E-05
   145   0.554860E+04   0.141984E+01   0.656588E-02  -0.590624E+02   0.961979E-07   0.305078E-03  -0.108238E-05
   146   0.559253E+04   0.141602E+01   0.642996E-02  -0.592367E+02   0.956014E-07   0.302015E-03  -0.106938E-05
   147   0.563605E+04   0.141170E+01   0.629548E-02  -0.593811E+02   0.950099E-07   0.299001E-03  -0.105652E-05
   148   0.567938E+04   0.140673E+01   0.616253E-02  -0.594968E+02   0.944236E-07   0.296034E-03  -0.104409E-05
   149   0.572258E+04   0.140117E+01   0.603124E-02  -0.595823E+02   0.938421E-07   0.293115E-03  -0.103234E-05
