#    L    TT             EE             BB             TE             PP             TP             EP          
   137   0.527656E+04   0.145533E+01   0.992274E-02  -0.576536E+02   0.102640E-06   0.336431E-03  -0.117905E-05
   138   0.532212E+04   0.145643E+01   0.973750E-02  -0.580463E+02   0.101991E-06   0.332909E-03  -0.117451E-05
   139   0.536743E+04   0.145702E+01   0.955296E-02  -0.584131E+02   0.101348E-06   0.329440E-03  -0.116791E-05
   140   0.541278E+04   0.145685E+01   0.936925E-02  -0.587548E+02   0.100710E-06   0.326023E-03  -0.115954E-05
   141   0.545788E+04   0.145602E+01   0.918653E-02  -0.590690E+02   0.100077E-06   0.322658E-03  -0.114967E-05
   142   0.550294E+04   0.145459E+01   0.900495E-02  -0.593563E+02   0.994500E-07   0.319344E-03  -0.113858E-05
   143   0.554790E+04   0.145257E+01   0.882463E-02  -0.596165E+02   0.988281E-07   0.316081E-03  -0.112653E-05
   144   0.559259E+04   0.144988E+01   0.864574E-02  -0.598490E+02   0.982114E-07   0.312868E-03  -0.111382E-05
   145   0.563710E+04   0.144667E+01   0.846841E-02  -0.600526E+02   0.976000E-07   0.309705E-03  -0.110071E-05
   146   0.568164E+04   0.144272E+01   0.829279E-02  -0.602275E+02   0.969938E-07   0.306592E-03  -0.108747E-05
   147   0.572577E+04   0.143825E+01   0.811902E-02  -0.603719E+02   0.963928E-07   0.303527E-03  -0.107439E-05
   148   0.576971E+04   0.143312E+01   0.794725E-02  -0.604872E+02   0.957969E-07   0.300512E-03  -0.106174E-05
   149   0.581353E+04   0.142740E+01   0.777762E-02  -0.605719E+02   0.952061E-07   0.297544E-03  -0.104979E-05
   150   0.585700E+04   0.142116E+01   0.761028E-02  -0.606235E+02   0.946203E-07   0.294625E-03  -0.103882E-05
   151   0.590027E+04   0.141434E+01   0.744535E-02  -0.606450E+02   0.940395E-07   0.291752E-03  -0.102904E-05
   152   0.594319E+04   0.140685E+01   0.728290E-02  -0.606347E+02   0.934637E-07   0.288926E-03  -0.102041E-05
   153   0.598591E+04   0.139887E+01   0.712298E-02  -0.605905E+02   0.928928E-07   0.286146E-03  -0.101284E-05
   154   0.602834E+04   0.139039E+01   0.696563E-02  -0.605144E+02   0.923268E-07   0.283409E-03  -0.100623E-05
   155   0.607048E+04   0.138142E+01   0.681090E-02  -0.604058E+02   0.917657E-07   0.280716E-03  -0.100048E-05
   156   0.611218E+04   0.137196E+01   0.665883E-02  -0.602644E+02   0.912094E-07   0.278065E-03  -0.995487E-06
   157   0.615373E+04   0.136203E+01   0.650948E-02  -0.600888E+02   0.906579E-07   0.275456E-03  -0.991158E-06
   158   0.619491E+04   0.135170E+01   0.636289E-02  -0.598797E+02   0.901111E-07   0.272886E-03  -0.987394E-06
   159   0.623570E+04   0.134082E+01   0.621911E-02  -0.596369E+02   0.895691E-07   0.270356E-03  -0.984096E-06
   160   0.627619E+04   0.132955E+01   0.607818E-02  -0.593591E+02   0.890318E-07   0.267864E-03  -0.981166E-06
