#           k/h    P           
   0.780551E-01   0.760508E+04
   0.796319E-01   0.734308E+04
   0.812406E-01   0.709178E+04
   0.828817E-01   0.682654E+04
   0.845561E-01   0.656294E+04
   0.862642E-01   0.630375E+04
   0.880068E-01   0.606262E+04
   0.897847E-01   0.582016E+04
   0.915985E-01   0.559055E+04
   0.934489E-01   0.537600E+04
   0.953367E-01   0.518769E+04
   0.972626E-01   0.500782E+04
   0.992274E-01   0.484733E+04
   0.101232E+00   0.470603E+04
   0.103277E+00   0.459064E+04
   0.105363E+00   0.448273E+04
   0.107492E+00   0.438865E+04
   0.109663E+00   0.430511E+04
   0.111879E+00   0.423670E+04
   0.114139E+00   0.416465E+04
   0.116445E+00   0.409351E+04
   0.118797E+00   0.402020E+04
   0.121197E+00   0.394890E+04
   0.123645E+00   0.386222E+04
   0.126143E+00   0.376535E+04
   0.128691E+00   0.365708E+04
   0.131291E+00   0.353685E+04
   0.133943E+00   0.341231E+04
   0.136649E+00   0.327307E+04
   0.139409E+00   0.312893E+04
   0.142226E+00   0.298407E+04
   0.145099E+00   0.284759E+04
   0.148030E+00   0.271262E+04
   0.151020E+00   0.258772E+04
   0.154071E+00   0.247520E+04
   0.157184E+00   0.238097E+04
   0.160359E+00   0.229642E+04
   0.163598E+00   0.222561E+04
   0.166903E+00   0.216651E+04
   0.170275E+00   0.212033E+04
   0.173715E+00   0.207543E+04
   0.177224E+00   0.203189E+04
   0.180804E+00   0.198578E+04
   0.184457E+00   0.193752E+04
   0.188183E+00   0.187777E+04
   0.191985E+00   0.180996E+04
   0.195863E+00   0.173536E+04
   0.199820E+00   0.165976E+04
   0.203856E+00   0.158032E+04
   0.207974E+00   0.150361E+04
   0.212176E+00   0.143257E+04
   0.216462E+00   0.136939E+04
   0.220835E+00   0.131770E+04
   0.225296E+00   0.127240E+04
   0.229847E+00   0.123412E+04
   0.234490E+00   0.120003E+04
   0.239227E+00   0.116925E+04
   0.244060E+00   0.113497E+04
   0.248990E+00   0.109758E+04
   0.254020E+00   0.105614E+04
   0.259152E+00   0.101303E+04
   0.264387E+00   0.966517E+03
   0.269728E+00   0.921292E+03
   0.275177E+00   0.879428E+03
   0.280736E+00   0.843688E+03
   0.286407E+00   0.811233E+03
   0.292193E+00   0.782943E+03
   0.298096E+00   0.757093E+03
   0.304118E+00   0.733140E+03
   0.310261E+00   0.706908E+03
   0.316529E+00   0.679158E+03
   0.322923E+00   0.650208E+03
   0.329447E+00   0.621214E+03
   0.336102E+00   0.594635E+03
   0.342892E+00   0.569226E+03
   0.349819E+00   0.546461E+03
   0.356885E+00   0.525801E+03
   0.364095E+00   0.507181E+03
   0.371450E+00   0.487804E+03
   0.378954E+00   0.468141E+03
   0.386609E+00   0.448243E+03
   0.394419E+00   0.429504E+03
   0.402387E+00   0.410944E+03
   0.410516E+00   0.393727E+03
   0.418809E+00   0.377812E+03
   0.427269E+00   0.363420E+03
   0.435901E+00   0.348657E+03
   0.444706E+00   0.334279E+03
   0.453690E+00   0.320398E+03
   0.462855E+00   0.307583E+03
   0.472206E+00   0.294650E+03
   0.481745E+00   0.282192E+03
   0.491477E+00   0.270199E+03
   0.501405E+00   0.259146E+03
   0.511534E+00   0.248031E+03
   0.521868E+00   0.237352E+03
   0.532411E+00   0.227096E+03
   0.543166E+00   0.217252E+03
   0.554139E+00   0.208199E+03
   0.565333E+00   0.199128E+03
   0.576753E+00   0.190435E+03
   0.588404E+00   0.182108E+03
   0.600291E+00   0.174463E+03
   0.612418E+00   0.166817E+03
   0.624789E+00   0.159498E+03
   0.637411E+00   0.152493E+03
   0.650288E+00   0.146061E+03
   0.663424E+00   0.139629E+03
   0.676826E+00   0.133472E+03
   0.690499E+00   0.127577E+03
   0.704448E+00   0.122164E+03
   0.718679E+00   0.116752E+03
   0.733197E+00   0.111570E+03
   0.748009E+00   0.106609E+03
   0.763119E+00   0.102053E+03
   0.778536E+00   0.974978E+02
   0.794263E+00   0.931373E+02
   0.810308E+00   0.889630E+02
   0.826677E+00   0.851280E+02
   0.843378E+00   0.812954E+02
   0.860415E+00   0.776272E+02
   0.877797E+00   0.741169E+02
   0.895529E+00   0.707582E+02
   0.913620E+00   0.676728E+02
   0.932076E+00   0.645932E+02
   0.950906E+00   0.616481E+02
   0.970115E+00   0.588318E+02
   0.989713E+00   0.562456E+02
   0.100971E+01   0.536665E+02
   0.103010E+01   0.512013E+02
   0.105091E+01   0.488454E+02
   0.107214E+01   0.466827E+02
   0.109380E+01   0.445275E+02
   0.111590E+01   0.424687E+02
   0.113844E+01   0.405021E+02
   0.116144E+01   0.386974E+02
   0.118490E+01   0.369002E+02
   0.120884E+01   0.351841E+02
   0.123326E+01   0.335455E+02
   0.125817E+01   0.320419E+02
   0.128359E+01   0.305451E+02
   0.130952E+01   0.291162E+02
   0.133597E+01   0.277522E+02
   0.136296E+01   0.264501E+02
   0.139049E+01   0.252552E+02
   0.141858E+01   0.240665E+02
   0.144724E+01   0.229321E+02
   0.147648E+01   0.218494E+02
   0.150630E+01   0.208560E+02
   0.153673E+01   0.198681E+02
   0.156778E+01   0.189255E+02
   0.159945E+01   0.180262E+02
   0.163176E+01   0.172011E+02
   0.166472E+01   0.163810E+02
   0.169835E+01   0.155988E+02
   0.173266E+01   0.148530E+02
   0.176766E+01   0.141690E+02
   0.180337E+01   0.134897E+02
   0.183980E+01   0.128423E+02
   0.187697E+01   0.122253E+02
   0.191489E+01   0.116598E+02
   0.195357E+01   0.110987E+02
   0.199304E+01   0.105641E+02
   0.203330E+01   0.100550E+02
   0.207437E+01   0.958866E+01
   0.211628E+01   0.912610E+01
   0.215903E+01   0.868572E+01
   0.220265E+01   0.826650E+01
   0.224714E+01   0.786746E+01
