#    L    TT             EE             BB             TE             PP             TP             EP          
    89   0.312618E+04   0.783666E+00   0.117286E-01  -0.214630E+02   0.138174E-06   0.584174E-03  -0.111366E-05
    90   0.316391E+04   0.803396E+00   0.117200E-01  -0.222653E+02   0.137275E-06   0.575948E-03  -0.119029E-05
    91   0.320184E+04   0.823120E+00   0.117060E-01  -0.230747E+02   0.136381E-06   0.567933E-03  -0.125032E-05
    92   0.324013E+04   0.842817E+00   0.116866E-01  -0.238905E+02   0.135491E-06   0.560117E-03  -0.129363E-05
    93   0.327878E+04   0.862476E+00   0.116619E-01  -0.247124E+02   0.134605E-06   0.552495E-03  -0.132154E-05
    94   0.331757E+04   0.882057E+00   0.116322E-01  -0.255389E+02   0.133724E-06   0.545061E-03  -0.133541E-05
    95   0.335672E+04   0.901555E+00   0.115974E-01  -0.263706E+02   0.132848E-06   0.537807E-03  -0.133658E-05
    96   0.339593E+04   0.920952E+00   0.115576E-01  -0.272066E+02   0.131977E-06   0.530729E-03  -0.132638E-05
    97   0.343565E+04   0.940228E+00   0.115131E-01  -0.280460E+02   0.131110E-06   0.523820E-03  -0.130616E-05
    98   0.347566E+04   0.959372E+00   0.114639E-01  -0.288865E+02   0.130248E-06   0.517072E-03  -0.127724E-05
    99   0.351581E+04   0.978342E+00   0.114101E-01  -0.297309E+02   0.129392E-06   0.510482E-03  -0.124098E-05
   100   0.355632E+04   0.997136E+00   0.113519E-01  -0.305747E+02   0.128540E-06   0.504041E-03  -0.119871E-05
   101   0.359704E+04   0.101581E+01   0.112893E-01  -0.314206E+02   0.127694E-06   0.497744E-03  -0.115176E-05
   102   0.363835E+04   0.103421E+01   0.112224E-01  -0.322663E+02   0.126852E-06   0.491585E-03  -0.110146E-05
   103   0.367966E+04   0.105240E+01   0.111514E-01  -0.331125E+02   0.126016E-06   0.485557E-03  -0.104915E-05
   104   0.372125E+04   0.107038E+01   0.110764E-01  -0.339560E+02   0.125186E-06   0.479655E-03  -0.996168E-06
   105   0.376306E+04   0.108808E+01   0.109975E-01  -0.347981E+02   0.124360E-06   0.473872E-03  -0.943839E-06
   106   0.380515E+04   0.110556E+01   0.109148E-01  -0.356381E+02   0.123540E-06   0.468202E-03  -0.893496E-06
   107   0.384725E+04   0.112268E+01   0.108284E-01  -0.364742E+02   0.122726E-06   0.462638E-03  -0.846470E-06
   108   0.388978E+04   0.113949E+01   0.107385E-01  -0.373072E+02   0.121917E-06   0.457176E-03  -0.804091E-06
   109   0.393253E+04   0.115593E+01   0.106451E-01  -0.381353E+02   0.121114E-06   0.451808E-03  -0.767689E-06
   110   0.397543E+04   0.117199E+01   0.105483E-01  -0.389570E+02   0.120317E-06   0.446529E-03  -0.738593E-06
   111   0.401854E+04   0.118773E+01   0.104483E-01  -0.397736E+02   0.119526E-06   0.441332E-03  -0.717802E-06
   112   0.406187E+04   0.120309E+01   0.103452E-01  -0.405842E+02   0.118740E-06   0.436217E-03  -0.705001E-06
   113   0.410549E+04   0.121806E+01   0.102392E-01  -0.413871E+02   0.117961E-06   0.431182E-03  -0.699546E-06
   114   0.414923E+04   0.123256E+01   0.101303E-01  -0.421813E+02   0.117187E-06   0.426224E-03  -0.700794E-06
   115   0.419325E+04   0.124674E+01   0.100188E-01  -0.429668E+02   0.116419E-06   0.421344E-03  -0.708103E-06
   116   0.423732E+04   0.126036E+01   0.990483E-02  -0.437425E+02   0.115656E-06   0.416539E-03  -0.720830E-06
   117   0.428173E+04   0.127352E+01   0.978846E-02  -0.445075E+02   0.114900E-06   0.411809E-03  -0.738333E-06
   118   0.432633E+04   0.128634E+01   0.966985E-02  -0.452624E+02   0.114149E-06   0.407151E-03  -0.759970E-06
   119   0.437097E+04   0.129868E+01   0.954917E-02  -0.460047E+02   0.113405E-06   0.402565E-03  -0.785100E-06
   120   0.441579E+04   0.131038E+01   0.942656E-02  -0.467343E+02   0.112665E-06   0.398049E-03  -0.813081E-06
   121   0.446063E+04   0.132175E+01   0.930216E-02  -0.474510E+02   0.111932E-06   0.393601E-03  -0.843272E-06
   122   0.450557E+04   0.133248E+01   0.917611E-02  -0.481537E+02   0.111205E-06   0.389222E-03  -0.875034E-06
   123   0.455061E+04   0.134264E+01   0.904856E-02  -0.488425E+02   0.110483E-06   0.384908E-03  -0.907726E-06
   124   0.459573E+04   0.135230E+01   0.891966E-02  -0.495139E+02   0.109767E-06   0.380659E-03  -0.940707E-06
   125   0.464086E+04   0.136139E+01   0.878954E-02  -0.501702E+02   0.109056E-06   0.376473E-03  -0.973339E-06
   126   0.468607E+04   0.136997E+01   0.865836E-02  -0.508104E+02   0.108352E-06   0.372350E-03  -0.100498E-05
   127   0.473128E+04   0.137790E+01   0.852627E-02  -0.514335E+02   0.107653E-06   0.368287E-03  -0.103499E-05
   128   0.477649E+04   0.138533E+01   0.839339E-02  -0.520386E+02   0.106960E-06   0.364284E-03  -0.106274E-05
   129   0.482177E+04   0.139209E+01   0.825988E-02  -0.526248E+02   0.106272E-06   0.360339E-03  -0.108758E-05
   130   0.486704E+04   0.139819E+01   0.812589E-02  -0.531912E+02   0.105590E-06   0.356451E-03  -0.110887E-05
   131   0.491229E+04   0.140378E+01   0.799155E-02  -0.537389E+02   0.104914E-06   0.352618E-03  -0.112613E-05
   132   0.495759E+04   0.140870E+01   0.785697E-02  -0.542650E+02   0.104244E-06   0.348841E-03  -0.113948E-05
   133   0.500281E+04   0.141303E+01   0.772226E-02  -0.547716E+02   0.103579E-06   0.345117E-03  -0.114919E-05
   134   0.504800E+04   0.141677E+01   0.758752E-02  -0.552541E+02   0.102920E-06   0.341448E-03  -0.115553E-05
   135   0.509317E+04   0.141985E+01   0.745285E-02  -0.557154E+02   0.102266E-06   0.337833E-03  -0.115876E-05
   136   0.513817E+04   0.142227E+01   0.731837E-02  -0.561516E+02   0.101618E-06   0.334271E-03  -0.115918E-05
   137   0.518314E+04   0.142410E+01   0.718418E-02  -0.565649E+02   0.100976E-06   0.330761E-03  -0.115703E-05
   138   0.522801E+04   0.142527E+01   0.705038E-02  -0.569537E+02   0.100338E-06   0.327303E-03  -0.115260E-05
   139   0.527263E+04   0.142593E+01   0.691707E-02  -0.573170E+02   0.997064E-07   0.323898E-03  -0.114616E-05
   140   0.531730E+04   0.142586E+01   0.678436E-02  -0.576556E+02   0.990798E-07   0.320543E-03  -0.113797E-05
   141   0.536171E+04   0.142512E+01   0.665236E-02  -0.579672E+02   0.984585E-07   0.317239E-03  -0.112830E-05
   142   0.540609E+04   0.142381E+01   0.652116E-02  -0.582523E+02   0.978425E-07   0.313986E-03  -0.111744E-05
   143   0.545035E+04   0.142191E+01   0.639088E-02  -0.585108E+02   0.972317E-07   0.310782E-03  -0.110564E-05
   144   0.549436E+04   0.141935E+01   0.626162E-02  -0.587419E+02   0.966261E-07   0.307628E-03  -0.109317E-05
   145   0.553819E+04   0.141629E+01   0.613349E-02  -0.589448E+02   0.960256E-07   0.304523E-03  -0.108032E-05
   146   0.558205E+04   0.141250E+01   0.600658E-02  -0.591193E+02   0.954302E-07   0.301466E-03  -0.106734E-05
   147   0.562549E+04   0.140820E+01   0.588100E-02  -0.592638E+02   0.948398E-07   0.298457E-03  -0.105451E-05
   148   0.566875E+04   0.140325E+01   0.575687E-02  -0.593797E+02   0.942546E-07   0.295496E-03  -0.104210E-05
   149   0.571188E+04   0.139772E+01   0.563427E-02  -0.594655E+02   0.936742E-07   0.292582E-03  -0.103038E-05
   150   0.575468E+04   0.139168E+01   0.551332E-02  -0.595187E+02   0.930989E-07   0.289715E-03  -0.101961E-05
   151   0.579728E+04   0.138507E+01   0.539412E-02  -0.595423E+02   0.925284E-07   0.286894E-03  -0.101001E-05
   152   0.583953E+04   0.137781E+01   0.527669E-02  -0.595346E+02   0.919628E-07   0.284118E-03  -0.100154E-05
   153   0.588158E+04   0.137006E+01   0.516109E-02  -0.594935E+02   0.914020E-07   0.281386E-03  -0.994104E-06
