#           k/h    P           
   0.216462E+00   0.647728E+04
   0.220835E+00   0.623331E+04
   0.225296E+00   0.601823E+04
   0.229847E+00   0.583642E+04
   0.234490E+00   0.567444E+04
   0.239227E+00   0.552933E+04
   0.244060E+00   0.536653E+04
   0.248990E+00   0.518908E+04
   0.254020E+00   0.499251E+04
   0.259152E+00   0.478909E+04
   0.264387E+00   0.456862E+04
   0.269728E+00   0.435428E+04
   0.275177E+00   0.415588E+04
   0.280736E+00   0.398731E+04
   0.286407E+00   0.383343E+04
   0.292193E+00   0.369927E+04
   0.298096E+00   0.357667E+04
   0.304118E+00   0.346378E+04
   0.310261E+00   0.333941E+04
   0.316529E+00   0.320791E+04
   0.322923E+00   0.307077E+04
   0.329447E+00   0.293346E+04
   0.336102E+00   0.280817E+04
   0.342892E+00   0.268783E+04
   0.349819E+00   0.258001E+04
   0.356885E+00   0.248215E+04
   0.364095E+00   0.239444E+04
   0.371450E+00   0.230266E+04
   0.378954E+00   0.220956E+04
   0.386609E+00   0.211537E+04
   0.394419E+00   0.202709E+04
   0.402387E+00   0.193925E+04
   0.410516E+00   0.185777E+04
   0.418809E+00   0.178244E+04
   0.427269E+00   0.171468E+04
   0.435901E+00   0.164481E+04
   0.444706E+00   0.157678E+04
   0.453690E+00   0.151111E+04
   0.462855E+00   0.145079E+04
   0.472206E+00   0.138961E+04
   0.481745E+00   0.133068E+04
   0.491477E+00   0.127397E+04
   0.501405E+00   0.122195E+04
   0.511534E+00   0.116939E+04
   0.521868E+00   0.111890E+04
   0.532411E+00   0.107041E+04
   0.543166E+00   0.102389E+04
   0.554139E+00   0.981296E+03
   0.565333E+00   0.938421E+03
   0.576753E+00   0.897339E+03
   0.588404E+00   0.857993E+03
   0.600291E+00   0.822037E+03
   0.612418E+00   0.785910E+03
   0.624789E+00   0.751335E+03
   0.637411E+00   0.718244E+03
   0.650288E+00   0.688005E+03
   0.663424E+00   0.657623E+03
   0.676826E+00   0.628543E+03
   0.690499E+00   0.600709E+03
   0.704448E+00   0.575267E+03
   0.718679E+00   0.549709E+03
   0.733197E+00   0.525245E+03
   0.748009E+00   0.501828E+03
   0.763119E+00   0.480418E+03
   0.778536E+00   0.458916E+03
   0.794263E+00   0.438336E+03
   0.810308E+00   0.418637E+03
   0.826677E+00   0.400622E+03
   0.843378E+00   0.382537E+03
   0.860415E+00   0.365230E+03
   0.877797E+00   0.348672E+03
   0.895529E+00   0.332831E+03
   0.913620E+00   0.318343E+03
   0.932076E+00   0.303817E+03
   0.950906E+00   0.289928E+03
   0.970115E+00   0.276648E+03
   0.989713E+00   0.264508E+03
   0.100971E+01   0.252347E+03
   0.103010E+01   0.240725E+03
   0.105091E+01   0.229620E+03
   0.107214E+01   0.219470E+03
   0.109380E+01   0.209311E+03
   0.111590E+01   0.199608E+03
   0.113844E+01   0.190341E+03
   0.116144E+01   0.181874E+03
   0.118490E+01   0.173406E+03
   0.120884E+01   0.165320E+03
   0.123326E+01   0.157601E+03
   0.125817E+01   0.150549E+03
   0.128359E+01   0.143498E+03
   0.130952E+01   0.136768E+03
   0.133597E+01   0.130345E+03
   0.136296E+01   0.124213E+03
   0.139049E+01   0.118611E+03
   0.141858E+01   0.113014E+03
   0.144724E+01   0.107674E+03
   0.147648E+01   0.102577E+03
   0.150630E+01   0.979209E+02
   0.153673E+01   0.932712E+02
   0.156778E+01   0.888352E+02
   0.159945E+01   0.846033E+02
   0.163176E+01   0.807369E+02
   0.166472E+01   0.768781E+02
   0.169835E+01   0.731982E+02
   0.173266E+01   0.696895E+02
   0.176766E+01   0.664852E+02
   0.180337E+01   0.632900E+02
   0.183980E+01   0.602451E+02
   0.187697E+01   0.573437E+02
   0.191489E+01   0.546954E+02
   0.195357E+01   0.520566E+02
   0.199304E+01   0.495432E+02
   0.203330E+01   0.471502E+02
   0.207437E+01   0.449664E+02
   0.211628E+01   0.427913E+02
   0.215903E+01   0.407190E+02
   0.220265E+01   0.387492E+02
   0.224714E+01   0.368741E+02
