#           k/h    P           
   0.692287E-01   0.132475E+05
   0.706272E-01   0.129459E+05
   0.720539E-01   0.126333E+05
   0.735095E-01   0.123263E+05
   0.749945E-01   0.119746E+05
   0.765095E-01   0.116051E+05
   0.780551E-01   0.112243E+05
   0.796319E-01   0.108375E+05
   0.812406E-01   0.104666E+05
   0.828817E-01   0.100751E+05
   0.845561E-01   0.968596E+04
   0.862642E-01   0.930335E+04
   0.880068E-01   0.894753E+04
   0.897847E-01   0.858962E+04
   0.915985E-01   0.825067E+04
   0.934489E-01   0.793397E+04
   0.953367E-01   0.765610E+04
   0.972626E-01   0.739058E+04
   0.992274E-01   0.715365E+04
   0.101232E+00   0.694505E+04
   0.103277E+00   0.677481E+04
   0.105363E+00   0.661550E+04
   0.107492E+00   0.647660E+04
   0.109663E+00   0.635325E+04
   0.111879E+00   0.625234E+04
   0.114139E+00   0.614594E+04
   0.116445E+00   0.604091E+04
   0.118797E+00   0.593266E+04
   0.121197E+00   0.582748E+04
   0.123645E+00   0.569951E+04
   0.126143E+00   0.555651E+04
   0.128691E+00   0.539669E+04
   0.131291E+00   0.521921E+04
   0.133943E+00   0.503546E+04
   0.136649E+00   0.482994E+04
   0.139409E+00   0.461721E+04
   0.142226E+00   0.440340E+04
   0.145099E+00   0.420203E+04
   0.148030E+00   0.400282E+04
   0.151020E+00   0.381849E+04
   0.154071E+00   0.365243E+04
   0.157184E+00   0.351340E+04
   0.160359E+00   0.338861E+04
   0.163598E+00   0.328409E+04
   0.166903E+00   0.319685E+04
   0.170275E+00   0.312873E+04
   0.173715E+00   0.306244E+04
   0.177224E+00   0.299817E+04
   0.180804E+00   0.293010E+04
   0.184457E+00   0.285891E+04
   0.188183E+00   0.277073E+04
   0.191985E+00   0.267065E+04
   0.195863E+00   0.256054E+04
   0.199820E+00   0.244901E+04
   0.203856E+00   0.233176E+04
   0.207974E+00   0.221856E+04
   0.212176E+00   0.211372E+04
   0.216462E+00   0.202048E+04
   0.220835E+00   0.194423E+04
   0.225296E+00   0.187737E+04
   0.229847E+00   0.182088E+04
   0.234490E+00   0.177055E+04
   0.239227E+00   0.172515E+04
   0.244060E+00   0.167456E+04
   0.248990E+00   0.161938E+04
   0.254020E+00   0.155822E+04
   0.259152E+00   0.149462E+04
   0.264387E+00   0.142599E+04
   0.269728E+00   0.135925E+04
   0.275177E+00   0.129747E+04
   0.280736E+00   0.124475E+04
   0.286407E+00   0.119686E+04
   0.292193E+00   0.115511E+04
   0.298096E+00   0.111696E+04
   0.304118E+00   0.108163E+04
   0.310261E+00   0.104292E+04
   0.316529E+00   0.100197E+04
   0.322923E+00   0.959248E+03
   0.329447E+00   0.916464E+03
   0.336102E+00   0.877258E+03
   0.342892E+00   0.839765E+03
   0.349819E+00   0.806173E+03
   0.356885E+00   0.775686E+03
   0.364095E+00   0.748222E+03
   0.371450E+00   0.719628E+03
   0.378954E+00   0.690615E+03
   0.386609E+00   0.661254E+03
   0.394419E+00   0.633613E+03
   0.402387E+00   0.606227E+03
   0.410516E+00   0.580824E+03
   0.418809E+00   0.557340E+03
   0.427269E+00   0.536113E+03
   0.435901E+00   0.514330E+03
   0.444706E+00   0.493114E+03
   0.453690E+00   0.472634E+03
   0.462855E+00   0.453732E+03
   0.472206E+00   0.434650E+03
   0.481745E+00   0.416268E+03
   0.491477E+00   0.398573E+03
   0.501405E+00   0.382272E+03
   0.511534E+00   0.365873E+03
   0.521868E+00   0.350115E+03
   0.532411E+00   0.334984E+03
   0.543166E+00   0.320461E+03
   0.554139E+00   0.307109E+03
   0.565333E+00   0.293725E+03
   0.576753E+00   0.280899E+03
   0.588404E+00   0.268614E+03
   0.600291E+00   0.257339E+03
   0.612418E+00   0.246058E+03
   0.624789E+00   0.235261E+03
   0.637411E+00   0.224926E+03
   0.650288E+00   0.215440E+03
   0.663424E+00   0.205951E+03
