#           k/h    P           
   0.578246E-01   0.156583E+05
   0.589927E-01   0.154383E+05
   0.601845E-01   0.152157E+05
   0.614003E-01   0.149886E+05
   0.626407E-01   0.147832E+05
   0.639061E-01   0.145393E+05
   0.651971E-01   0.142825E+05
   0.665142E-01   0.140102E+05
   0.678578E-01   0.137497E+05
   0.692287E-01   0.134510E+05
   0.706272E-01   0.131440E+05
   0.720539E-01   0.128259E+05
   0.735095E-01   0.125146E+05
   0.749945E-01   0.121568E+05
   0.765095E-01   0.117810E+05
   0.780551E-01   0.113937E+05
   0.796319E-01   0.110004E+05
   0.812406E-01   0.106244E+05
   0.828817E-01   0.102263E+05
   0.845561E-01   0.983072E+04
   0.862642E-01   0.944182E+04
   0.880068E-01   0.908104E+04
   0.897847E-01   0.871726E+04
   0.915985E-01   0.837277E+04
   0.934489E-01   0.805089E+04
   0.953367E-01   0.776922E+04
   0.972626E-01   0.749931E+04
   0.992274E-01   0.725846E+04
   0.101232E+00   0.704638E+04
   0.103277E+00   0.687392E+04
   0.105363E+00   0.671187E+04
   0.107492E+00   0.657055E+04
   0.109663E+00   0.644502E+04
   0.111879E+00   0.634288E+04
   0.114139E+00   0.623457E+04
   0.116445E+00   0.612765E+04
   0.118797E+00   0.601749E+04
   0.121197E+00   0.591102E+04
   0.123645E+00   0.578087E+04
   0.126143E+00   0.563548E+04
   0.128691E+00   0.547307E+04
   0.131291E+00   0.529276E+04
   0.133943E+00   0.510661E+04
   0.136649E+00   0.489789E+04
   0.139409E+00   0.468188E+04
   0.142226E+00   0.446481E+04
   0.145099E+00   0.426079E+04
   0.148030E+00   0.405855E+04
   0.151020E+00   0.387141E+04
   0.154071E+00   0.370282E+04
   0.157184E+00   0.356200E+04
   0.160359E+00   0.343528E+04
   0.163598E+00   0.332912E+04
   0.166903E+00   0.324049E+04
   0.170275E+00   0.317155E+04
   0.173715E+00   0.310418E+04
   0.177224E+00   0.303885E+04
   0.180804E+00   0.296967E+04
   0.184457E+00   0.289763E+04
   0.188183E+00   0.280808E+04
   0.191985E+00   0.270649E+04
