#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.419671E-02   0.185151E+08   0.185095E+08  -0.749214E+04  -0.354860E+05   0.000000E+00   0.185142E+08   0.185142E+08   0.185142E+08  -0.415912E+00   0.903210E+07   0.903141E+07   0.545227E+02
   0.463401E-02   0.182779E+08   0.182719E+08  -0.866228E+04  -0.287312E+05   0.000000E+00   0.182769E+08   0.182769E+08   0.182769E+08  -0.410580E+00   0.891631E+07   0.891563E+07   0.490030E+02
   0.511687E-02   0.180168E+08   0.180103E+08  -0.106969E+05  -0.232276E+05   0.000000E+00   0.180157E+08   0.180157E+08   0.180157E+08  -0.404714E+00   0.878890E+07   0.878822E+07   0.441963E+02
   0.565005E-02   0.177305E+08   0.177234E+08  -0.761060E+04  -0.187476E+05   0.000000E+00   0.177293E+08   0.177293E+08   0.177293E+08  -0.398279E+00   0.864916E+07   0.864849E+07   0.398050E+02
   0.623878E-02   0.174175E+08   0.174096E+08  -0.725357E+04  -0.151046E+05   0.000000E+00   0.174162E+08   0.174162E+08   0.174162E+08  -0.391245E+00   0.849640E+07   0.849573E+07   0.357453E+02
   0.688886E-02   0.170764E+08   0.170676E+08  -0.578450E+04  -0.121456E+05   0.000000E+00   0.170749E+08   0.170749E+08   0.170749E+08  -0.383578E+00   0.832992E+07   0.832925E+07   0.321501E+02
   0.760668E-02   0.167058E+08   0.166959E+08  -0.575447E+04  -0.974512E+04   0.000000E+00   0.167041E+08   0.167041E+08   0.167041E+08  -0.375248E+00   0.814902E+07   0.814836E+07   0.289666E+02
   0.839929E-02   0.163042E+08   0.162931E+08  -0.465501E+04  -0.780043E+04   0.000000E+00   0.163024E+08   0.163024E+08   0.163024E+08  -0.366223E+00   0.795303E+07   0.795237E+07   0.260767E+02
   0.927450E-02   0.158704E+08   0.158578E+08  -0.353404E+04  -0.622735E+04   0.000000E+00   0.158683E+08   0.158683E+08   0.158683E+08  -0.356472E+00   0.774128E+07   0.774063E+07   0.235101E+02
   0.102409E-01   0.154030E+08   0.153887E+08  -0.323693E+04  -0.495697E+04   0.000000E+00   0.154006E+08   0.154006E+08   0.154006E+08  -0.345966E+00   0.751312E+07   0.751247E+07   0.212209E+02
   0.113080E-01   0.149008E+08   0.148844E+08  -0.274594E+04  -0.393289E+04   0.000000E+00   0.148980E+08   0.148980E+08   0.148980E+08  -0.334676E+00   0.726794E+07   0.726729E+07   0.191802E+02
   0.124863E-01   0.143625E+08   0.143438E+08  -0.204950E+04  -0.310903E+04   0.000000E+00   0.143594E+08   0.143594E+08   0.143594E+08  -0.322575E+00   0.700517E+07   0.700452E+07   0.173654E+02
   0.137874E-01   0.137874E+08   0.137659E+08  -0.184458E+04  -0.244773E+04   0.000000E+00   0.137838E+08   0.137838E+08   0.137838E+08  -0.309645E+00   0.672437E+07   0.672372E+07   0.157497E+02
   0.152240E-01   0.131749E+08   0.131503E+08  -0.144178E+04  -0.191828E+04   0.000000E+00   0.131707E+08   0.131707E+08   0.131707E+08  -0.295873E+00   0.642530E+07   0.642464E+07   0.143068E+02
   0.168103E-01   0.125454E+08   0.125174E+08  -0.110119E+04  -0.149806E+04   0.000000E+00   0.125407E+08   0.125407E+08   0.125407E+08  -0.281719E+00   0.611793E+07   0.611727E+07   0.130272E+02
   0.185620E-01   0.118627E+08   0.118312E+08  -0.946844E+03  -0.116173E+04   0.000000E+00   0.118574E+08   0.118574E+08   0.118574E+08  -0.266370E+00   0.578462E+07   0.578396E+07   0.118561E+02
   0.204961E-01   0.111472E+08   0.111118E+08  -0.594388E+03  -0.895278E+03   0.000000E+00   0.111413E+08   0.111413E+08   0.111413E+08  -0.250282E+00   0.543524E+07   0.543457E+07   0.107817E+02
   0.226318E-01   0.103893E+08   0.103500E+08  -0.545844E+03  -0.684294E+03   0.000000E+00   0.103827E+08   0.103827E+08   0.103827E+08  -0.233241E+00   0.506519E+07   0.506453E+07   0.977065E+01
   0.249900E-01   0.962343E+07   0.958058E+07  -0.408690E+03  -0.519812E+03   0.000000E+00   0.961624E+07   0.961624E+07   0.961624E+07  -0.216023E+00   0.469127E+07   0.469061E+07   0.881119E+01
