#    L    TT             EE             TE             PP             TP          
   126   0.476382E+04   0.137868E+01  -0.514982E+02   0.506245E+07   0.641115E+04
   127   0.481009E+04   0.138687E+01  -0.521403E+02   0.503035E+07   0.634175E+04
   128   0.485635E+04   0.139455E+01  -0.527639E+02   0.499851E+07   0.627335E+04
   129   0.490267E+04   0.140156E+01  -0.533683E+02   0.496692E+07   0.620593E+04
   130   0.494896E+04   0.140790E+01  -0.539523E+02   0.493559E+07   0.613946E+04
   131   0.499522E+04   0.141372E+01  -0.545174E+02   0.490450E+07   0.607393E+04
   132   0.504153E+04   0.141887E+01  -0.550603E+02   0.487366E+07   0.600932E+04
   133   0.508774E+04   0.142342E+01  -0.555833E+02   0.484307E+07   0.594562E+04
   134   0.513392E+04   0.142737E+01  -0.560816E+02   0.481273E+07   0.588283E+04
   135   0.518006E+04   0.143065E+01  -0.565582E+02   0.478264E+07   0.582095E+04
   136   0.522602E+04   0.143327E+01  -0.570093E+02   0.475278E+07   0.575996E+04
   137   0.527194E+04   0.143528E+01  -0.574369E+02   0.472317E+07   0.569986E+04
   138   0.531775E+04   0.143664E+01  -0.578394E+02   0.469380E+07   0.564064E+04
   139   0.536330E+04   0.143747E+01  -0.582159E+02   0.466467E+07   0.558230E+04
   140   0.540888E+04   0.143756E+01  -0.585672E+02   0.463578E+07   0.552482E+04
   141   0.545419E+04   0.143698E+01  -0.588907E+02   0.460712E+07   0.546820E+04
   142   0.549947E+04   0.143581E+01  -0.591872E+02   0.457870E+07   0.541244E+04
   143   0.554462E+04   0.143405E+01  -0.594566E+02   0.455051E+07   0.535753E+04
   144   0.558950E+04   0.143162E+01  -0.596979E+02   0.452256E+07   0.530346E+04
   145   0.563418E+04   0.142868E+01  -0.599103E+02   0.449483E+07   0.525022E+04
   146   0.567889E+04   0.142500E+01  -0.600937E+02   0.446733E+07   0.519781E+04
   147   0.572318E+04   0.142080E+01  -0.602464E+02   0.444006E+07   0.514621E+04
   148   0.576726E+04   0.141594E+01  -0.603698E+02   0.441301E+07   0.509543E+04
   149   0.581122E+04   0.141050E+01  -0.604624E+02   0.438619E+07   0.504546E+04
   150   0.585482E+04   0.140454E+01  -0.605217E+02   0.435959E+07   0.499628E+04
   151   0.589821E+04   0.139799E+01  -0.605507E+02   0.433321E+07   0.494790E+04
   152   0.594124E+04   0.139079E+01  -0.605477E+02   0.430705E+07   0.490029E+04
   153   0.598406E+04   0.138308E+01  -0.605106E+02   0.428111E+07   0.485344E+04
   154   0.602659E+04   0.137488E+01  -0.604413E+02   0.425539E+07   0.480733E+04
   155   0.606882E+04   0.136619E+01  -0.603393E+02   0.422988E+07   0.476195E+04
   156   0.611060E+04   0.135702E+01  -0.602043E+02   0.420458E+07   0.471727E+04
   157   0.615223E+04   0.134736E+01  -0.600349E+02   0.417949E+07   0.467328E+04
   158   0.619347E+04   0.133731E+01  -0.598318E+02   0.415462E+07   0.462997E+04
   159   0.623432E+04   0.132671E+01  -0.595948E+02   0.412996E+07   0.458731E+04
   160   0.627486E+04   0.131572E+01  -0.593225E+02   0.410550E+07   0.454530E+04
   161   0.631509E+04   0.130443E+01  -0.590163E+02   0.408125E+07   0.450390E+04
   162   0.635491E+04   0.129268E+01  -0.586760E+02   0.405721E+07   0.446312E+04
   163   0.639448E+04   0.128056E+01  -0.583003E+02   0.403337E+07   0.442292E+04
   164   0.643349E+04   0.126815E+01  -0.578905E+02   0.400973E+07   0.438329E+04
   165   0.647224E+04   0.125538E+01  -0.574443E+02   0.398629E+07   0.434422E+04
   166   0.651058E+04   0.124241E+01  -0.569632E+02   0.396305E+07   0.430569E+04
   167   0.654858E+04   0.122901E+01  -0.564477E+02   0.394002E+07   0.426768E+04
   168   0.658600E+04   0.121556E+01  -0.558958E+02   0.391717E+07   0.423018E+04
   169   0.662300E+04   0.120178E+01  -0.553072E+02   0.389452E+07   0.419316E+04
   170   0.665957E+04   0.118788E+01  -0.546835E+02   0.387207E+07   0.415661E+04
   171   0.669556E+04   0.117388E+01  -0.540223E+02   0.384981E+07   0.412052E+04
   172   0.673103E+04   0.115971E+01  -0.533251E+02   0.382774E+07   0.408486E+04
   173   0.676592E+04   0.114537E+01  -0.525918E+02   0.380586E+07   0.404963E+04
   174   0.680036E+04   0.113117E+01  -0.518224E+02   0.378416E+07   0.401480E+04
   175   0.683428E+04   0.111681E+01  -0.510160E+02   0.376266E+07   0.398035E+04
   176   0.686752E+04   0.110253E+01  -0.501727E+02   0.374134E+07   0.394627E+04
   177   0.690023E+04   0.108825E+01  -0.492938E+02   0.372020E+07   0.391256E+04
   178   0.693234E+04   0.107422E+01  -0.483781E+02   0.369924E+07   0.387920E+04
   179   0.696384E+04   0.106014E+01  -0.474256E+02   0.367846E+07   0.384618E+04
   180   0.699488E+04   0.104626E+01  -0.464378E+02   0.365787E+07   0.381350E+04
   181   0.702523E+04   0.103258E+01  -0.454147E+02   0.363744E+07   0.378116E+04
   182   0.705497E+04   0.101920E+01  -0.443549E+02   0.361720E+07   0.374913E+04
   183   0.708402E+04   0.100603E+01  -0.432600E+02   0.359712E+07   0.371742E+04
   184   0.711252E+04   0.993186E+00  -0.421293E+02   0.357722E+07   0.368601E+04
   185   0.714041E+04   0.980810E+00  -0.409651E+02   0.355749E+07   0.365490E+04
   186   0.716730E+04   0.968777E+00  -0.397643E+02   0.353792E+07   0.362408E+04
   187   0.719387E+04   0.957240E+00  -0.385287E+02   0.351852E+07   0.359355E+04
   188   0.721973E+04   0.946194E+00  -0.372597E+02   0.349928E+07   0.356329E+04
   189   0.724482E+04   0.935690E+00  -0.359558E+02   0.348020E+07   0.353329E+04
   190   0.726957E+04   0.925790E+00  -0.346194E+02   0.346129E+07   0.350355E+04
   191   0.729325E+04   0.916528E+00  -0.332476E+02   0.344253E+07   0.347407E+04
   192   0.731636E+04   0.907938E+00  -0.318426E+02   0.342393E+07   0.344482E+04
   193   0.733870E+04   0.900075E+00  -0.304060E+02   0.340549E+07   0.341581E+04
   194   0.736046E+04   0.892982E+00  -0.289355E+02   0.338720E+07   0.338703E+04
   195   0.738144E+04   0.886706E+00  -0.274336E+02   0.336906E+07   0.335847E+04
   196   0.740163E+04   0.881297E+00  -0.258994E+02   0.335107E+07   0.333011E+04
   197   0.742117E+04   0.876809E+00  -0.243346E+02   0.333322E+07   0.330196E+04
   198   0.743999E+04   0.873278E+00  -0.227384E+02   0.331553E+07   0.327401E+04
   199   0.745809E+04   0.870751E+00  -0.211116E+02   0.329797E+07   0.324624E+04
   200   0.747546E+04   0.869270E+00  -0.194551E+02   0.328056E+07   0.321865E+04
   201   0.749204E+04   0.868906E+00  -0.177681E+02   0.326330E+07   0.319124E+04
   202   0.750788E+04   0.869676E+00  -0.160524E+02   0.324617E+07   0.316399E+04
   203   0.752292E+04   0.871652E+00  -0.143074E+02   0.322917E+07   0.313692E+04
