#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    91   0.318459E+04  -0.226290E+02   0.568979E-03  -0.226290E+02   0.807634E+00  -0.125285E-05   0.568979E-03  -0.125285E-05   0.136630E-06
    92   0.322364E+04  -0.234508E+02   0.561148E-03  -0.234508E+02   0.827281E+00  -0.129633E-05   0.561148E-03  -0.129633E-05   0.135738E-06
    93   0.326303E+04  -0.242791E+02   0.553511E-03  -0.242791E+02   0.846898E+00  -0.132441E-05   0.553511E-03  -0.132441E-05   0.134850E-06
    94   0.330256E+04  -0.251122E+02   0.546061E-03  -0.251122E+02   0.866443E+00  -0.133842E-05   0.546061E-03  -0.133842E-05   0.133968E-06
    95   0.334243E+04  -0.259507E+02   0.538794E-03  -0.259507E+02   0.885912E+00  -0.133970E-05   0.538794E-03  -0.133970E-05   0.133090E-06
    96   0.338236E+04  -0.267938E+02   0.531701E-03  -0.267938E+02   0.905285E+00  -0.132958E-05   0.531701E-03  -0.132958E-05   0.132217E-06
    97   0.342278E+04  -0.276405E+02   0.524778E-03  -0.276405E+02   0.924545E+00  -0.130940E-05   0.524778E-03  -0.130940E-05   0.131348E-06
    98   0.346349E+04  -0.284885E+02   0.518018E-03  -0.284885E+02   0.943679E+00  -0.128050E-05   0.518018E-03  -0.128050E-05   0.130485E-06
    99   0.350432E+04  -0.293406E+02   0.511414E-03  -0.293406E+02   0.962647E+00  -0.124422E-05   0.511414E-03  -0.124422E-05   0.129627E-06
   100   0.354550E+04  -0.301923E+02   0.504961E-03  -0.301923E+02   0.981444E+00  -0.120189E-05   0.504961E-03  -0.120189E-05   0.128774E-06
   101   0.358689E+04  -0.310463E+02   0.498653E-03  -0.310463E+02   0.100012E+01  -0.115485E-05   0.498653E-03  -0.115485E-05   0.127925E-06
   102   0.362885E+04  -0.319003E+02   0.492482E-03  -0.319003E+02   0.101854E+01  -0.110443E-05   0.492482E-03  -0.110443E-05   0.127082E-06
   103   0.367079E+04  -0.327548E+02   0.486444E-03  -0.327548E+02   0.103675E+01  -0.105198E-05   0.486444E-03  -0.105198E-05   0.126245E-06
   104   0.371302E+04  -0.336068E+02   0.480531E-03  -0.336068E+02   0.105477E+01  -0.998824E-06   0.480531E-03  -0.998824E-06   0.125413E-06
   105   0.375544E+04  -0.344576E+02   0.474738E-03  -0.344576E+02   0.107250E+01  -0.946307E-06   0.474738E-03  -0.946307E-06   0.124586E-06
   106   0.379815E+04  -0.353064E+02   0.469058E-03  -0.353064E+02   0.109002E+01  -0.895763E-06   0.469058E-03  -0.895763E-06   0.123764E-06
   107   0.384084E+04  -0.361514E+02   0.463485E-03  -0.361514E+02   0.110718E+01  -0.848530E-06   0.463485E-03  -0.848530E-06   0.122949E-06
   108   0.388396E+04  -0.369934E+02   0.458014E-03  -0.369934E+02   0.112405E+01  -0.805944E-06   0.458014E-03  -0.805944E-06   0.122138E-06
   109   0.392729E+04  -0.378306E+02   0.452637E-03  -0.378306E+02   0.114054E+01  -0.769342E-06   0.452637E-03  -0.769342E-06   0.121334E-06
   110   0.397074E+04  -0.386615E+02   0.447348E-03  -0.386615E+02   0.115666E+01  -0.740061E-06   0.447348E-03  -0.740061E-06   0.120535E-06
   111   0.401441E+04  -0.394873E+02   0.442143E-03  -0.394873E+02   0.117248E+01  -0.719108E-06   0.442143E-03  -0.719108E-06   0.119743E-06
   112   0.405827E+04  -0.403072E+02   0.437019E-03  -0.403072E+02   0.118791E+01  -0.706170E-06   0.437019E-03  -0.706170E-06   0.118956E-06
   113   0.410241E+04  -0.411195E+02   0.431974E-03  -0.411195E+02   0.120296E+01  -0.700605E-06   0.431974E-03  -0.700605E-06   0.118174E-06
   114   0.414667E+04  -0.419231E+02   0.427008E-03  -0.419231E+02   0.121754E+01  -0.701768E-06   0.427008E-03  -0.701768E-06   0.117399E-06
   115   0.419120E+04  -0.427180E+02   0.422118E-03  -0.427180E+02   0.123181E+01  -0.709018E-06   0.422118E-03  -0.709018E-06   0.116630E-06
   116   0.423576E+04  -0.435032E+02   0.417305E-03  -0.435032E+02   0.124553E+01  -0.721712E-06   0.417305E-03  -0.721712E-06   0.115866E-06
   117   0.428065E+04  -0.442777E+02   0.412565E-03  -0.442777E+02   0.125878E+01  -0.739206E-06   0.412565E-03  -0.739206E-06   0.115108E-06
   118   0.432572E+04  -0.450420E+02   0.407899E-03  -0.450420E+02   0.127171E+01  -0.760858E-06   0.407899E-03  -0.760858E-06   0.114356E-06
   119   0.437082E+04  -0.457938E+02   0.403304E-03  -0.457938E+02   0.128416E+01  -0.786026E-06   0.403304E-03  -0.786026E-06   0.113610E-06
   120   0.441608E+04  -0.465329E+02   0.398779E-03  -0.465329E+02   0.129598E+01  -0.814065E-06   0.398779E-03  -0.814065E-06   0.112869E-06
   121   0.446136E+04  -0.472590E+02   0.394324E-03  -0.472590E+02   0.130747E+01  -0.844334E-06   0.394324E-03  -0.844334E-06   0.112134E-06
