#    L    TT             EE             TE             PP             TP          
   287   0.593284E+04   0.898318E+01   0.146803E+03   0.214855E+07   0.151377E+04
   288   0.589087E+04   0.919230E+01   0.147861E+03   0.213959E+07   0.150185E+04
   289   0.584861E+04   0.940359E+01   0.148880E+03   0.213068E+07   0.149002E+04
   290   0.580613E+04   0.961689E+01   0.149858E+03   0.212183E+07   0.147826E+04
   291   0.576345E+04   0.983296E+01   0.150781E+03   0.211303E+07   0.146658E+04
   292   0.572025E+04   0.100507E+02   0.151671E+03   0.210429E+07   0.145498E+04
   293   0.567715E+04   0.102696E+02   0.152505E+03   0.209561E+07   0.144344E+04
   294   0.563370E+04   0.104913E+02   0.153305E+03   0.208697E+07   0.143197E+04
   295   0.559027E+04   0.107142E+02   0.154050E+03   0.207840E+07   0.142055E+04
   296   0.554650E+04   0.109399E+02   0.154753E+03   0.206987E+07   0.140920E+04
   297   0.550261E+04   0.111660E+02   0.155415E+03   0.206140E+07   0.139790E+04
   298   0.545846E+04   0.113949E+02   0.156020E+03   0.205297E+07   0.138666E+04
   299   0.541427E+04   0.116257E+02   0.156575E+03   0.204460E+07   0.137546E+04
   300   0.536990E+04   0.118570E+02   0.157081E+03   0.203628E+07   0.136430E+04
   301   0.532543E+04   0.120903E+02   0.157545E+03   0.202800E+07   0.135319E+04
   302   0.528093E+04   0.123247E+02   0.157967E+03   0.201978E+07   0.134212E+04
   303   0.523634E+04   0.125611E+02   0.158331E+03   0.201160E+07   0.133109E+04
   304   0.519165E+04   0.127993E+02   0.158638E+03   0.200348E+07   0.132010E+04
   305   0.514694E+04   0.130379E+02   0.158903E+03   0.199540E+07   0.130915E+04
   306   0.510214E+04   0.132776E+02   0.159118E+03   0.198737E+07   0.129824E+04
   307   0.505734E+04   0.135183E+02   0.159277E+03   0.197938E+07   0.128737E+04
   308   0.501252E+04   0.137616E+02   0.159401E+03   0.197144E+07   0.127654E+04
   309   0.496778E+04   0.140045E+02   0.159460E+03   0.196355E+07   0.126574E+04
   310   0.492295E+04   0.142475E+02   0.159478E+03   0.195571E+07   0.125499E+04
   311   0.487821E+04   0.144931E+02   0.159439E+03   0.194791E+07   0.124428E+04
   312   0.483354E+04   0.147381E+02   0.159358E+03   0.194016E+07   0.123360E+04
   313   0.478887E+04   0.149840E+02   0.159220E+03   0.193245E+07   0.122296E+04
   314   0.474429E+04   0.152309E+02   0.159040E+03   0.192478E+07   0.121236E+04
   315   0.469980E+04   0.154771E+02   0.158804E+03   0.191716E+07   0.120179E+04
   316   0.465540E+04   0.157243E+02   0.158519E+03   0.190959E+07   0.119126E+04
   317   0.461109E+04   0.159707E+02   0.158184E+03   0.190206E+07   0.118077E+04
   318   0.456687E+04   0.162187E+02   0.157801E+03   0.189457E+07   0.117032E+04
   319   0.452283E+04   0.164661E+02   0.157368E+03   0.188712E+07   0.115990E+04
   320   0.447897E+04   0.167134E+02   0.156894E+03   0.187972E+07   0.114951E+04
   321   0.443521E+04   0.169615E+02   0.156364E+03   0.187236E+07   0.113917E+04
