#    L    TT             EE             TE             PP             TP          
   132   0.160284E+05   0.451308E+01  -0.175134E+03   0.154743E+08   0.190932E+05
   133   0.161751E+05   0.452739E+01  -0.176791E+03   0.153770E+08   0.188906E+05
   134   0.163217E+05   0.453973E+01  -0.178374E+03   0.152805E+08   0.186909E+05
   135   0.164681E+05   0.455002E+01  -0.179885E+03   0.151847E+08   0.184940E+05
   136   0.166141E+05   0.455827E+01  -0.181319E+03   0.150898E+08   0.183000E+05
   137   0.167599E+05   0.456456E+01  -0.182677E+03   0.149956E+08   0.181088E+05
   138   0.169053E+05   0.456882E+01  -0.183956E+03   0.149022E+08   0.179204E+05
   139   0.170502E+05   0.457119E+01  -0.185153E+03   0.148095E+08   0.177347E+05
   140   0.171949E+05   0.457147E+01  -0.186269E+03   0.147176E+08   0.175518E+05
   141   0.173390E+05   0.456972E+01  -0.187299E+03   0.146265E+08   0.173717E+05
   142   0.174828E+05   0.456603E+01  -0.188242E+03   0.145361E+08   0.171942E+05
   143   0.176261E+05   0.456040E+01  -0.189098E+03   0.144464E+08   0.170195E+05
   144   0.177687E+05   0.455277E+01  -0.189865E+03   0.143575E+08   0.168474E+05
   145   0.179107E+05   0.454328E+01  -0.190539E+03   0.142693E+08   0.166780E+05
   146   0.180524E+05   0.453171E+01  -0.191121E+03   0.141818E+08   0.165113E+05
   147   0.181931E+05   0.451830E+01  -0.191606E+03   0.140951E+08   0.163471E+05
   148   0.183332E+05   0.450289E+01  -0.191995E+03   0.140091E+08   0.161856E+05
   149   0.184727E+05   0.448557E+01  -0.192285E+03   0.139238E+08   0.160266E+05
   150   0.186113E+05   0.446642E+01  -0.192473E+03   0.138392E+08   0.158702E+05
   151   0.187491E+05   0.444536E+01  -0.192559E+03   0.137553E+08   0.157163E+05
   152   0.188860E+05   0.442239E+01  -0.192543E+03   0.136721E+08   0.155649E+05
   153   0.190220E+05   0.439769E+01  -0.192421E+03   0.135896E+08   0.154159E+05
