#    L    TT             EE             BB             TE          
   147   0.562541E+04   0.140399E+01   0.103573E-01  -0.589663E+02
   148   0.566865E+04   0.139944E+01   0.105111E-01  -0.590830E+02
   149   0.571175E+04   0.139433E+01   0.106665E-01  -0.591694E+02
   150   0.575451E+04   0.138872E+01   0.108234E-01  -0.592231E+02
   151   0.579705E+04   0.138254E+01   0.109818E-01  -0.592471E+02
   152   0.583924E+04   0.137572E+01   0.111417E-01  -0.592397E+02
   153   0.588122E+04   0.136842E+01   0.113032E-01  -0.591987E+02
   154   0.592291E+04   0.136064E+01   0.114663E-01  -0.591262E+02
   155   0.596430E+04   0.135239E+01   0.116309E-01  -0.590216E+02
   156   0.600524E+04   0.134367E+01   0.117971E-01  -0.588847E+02
   157   0.604603E+04   0.133448E+01   0.119648E-01  -0.587139E+02
   158   0.608644E+04   0.132492E+01   0.121342E-01  -0.585101E+02
   159   0.612647E+04   0.131482E+01   0.123051E-01  -0.582731E+02
   160   0.616619E+04   0.130436E+01   0.124776E-01  -0.580014E+02
   161   0.620558E+04   0.129360E+01   0.126517E-01  -0.576965E+02
   162   0.624459E+04   0.128241E+01   0.128274E-01  -0.573582E+02
   163   0.628334E+04   0.127086E+01   0.130047E-01  -0.569852E+02
   164   0.632154E+04   0.125904E+01   0.131836E-01  -0.565787E+02
   165   0.635949E+04   0.124687E+01   0.133640E-01  -0.561366E+02
   166   0.639702E+04   0.123450E+01   0.135461E-01  -0.556602E+02
   167   0.643422E+04   0.122173E+01   0.137298E-01  -0.551503E+02
   168   0.647085E+04   0.120893E+01   0.139150E-01  -0.546046E+02
   169   0.650707E+04   0.119580E+01   0.141018E-01  -0.540230E+02
   170   0.654285E+04   0.118257E+01   0.142903E-01  -0.534070E+02
   171   0.657807E+04   0.116925E+01   0.144802E-01  -0.527543E+02
   172   0.661277E+04   0.115578E+01   0.146718E-01  -0.520663E+02
   173   0.664689E+04   0.114214E+01   0.148649E-01  -0.513431E+02
   174   0.668058E+04   0.112866E+01   0.150596E-01  -0.505845E+02
   175   0.671375E+04   0.111503E+01   0.152559E-01  -0.497897E+02
   176   0.674625E+04   0.110149E+01   0.154537E-01  -0.489587E+02
   177   0.677822E+04   0.108796E+01   0.156530E-01  -0.480932E+02
   178   0.680960E+04   0.107469E+01   0.158539E-01  -0.471915E+02
   179   0.684038E+04   0.106139E+01   0.160562E-01  -0.462538E+02
   180   0.687071E+04   0.104829E+01   0.162601E-01  -0.452816E+02
   181   0.690036E+04   0.103540E+01   0.164655E-01  -0.442750E+02
   182   0.692941E+04   0.102280E+01   0.166724E-01  -0.432325E+02
   183   0.695777E+04   0.101044E+01   0.168807E-01  -0.421557E+02
   184   0.698560E+04   0.998395E+00   0.170905E-01  -0.410439E+02
   185   0.701282E+04   0.986827E+00   0.173018E-01  -0.398994E+02
   186   0.703906E+04   0.975605E+00   0.175145E-01  -0.387193E+02
   187   0.706498E+04   0.964881E+00   0.177286E-01  -0.375050E+02
   188   0.709020E+04   0.954651E+00   0.179441E-01  -0.362582E+02
   189   0.711467E+04   0.944961E+00   0.181610E-01  -0.349774E+02
   190   0.713881E+04   0.935876E+00   0.183793E-01  -0.336649E+02
   191   0.716188E+04   0.927427E+00   0.185990E-01  -0.323178E+02
   192   0.718441E+04   0.919647E+00   0.188200E-01  -0.309384E+02
   193   0.720616E+04   0.912591E+00   0.190424E-01  -0.295281E+02
   194   0.722737E+04   0.906301E+00   0.192661E-01  -0.280849E+02
   195   0.724779E+04   0.900822E+00   0.194911E-01  -0.266110E+02
   196   0.726744E+04   0.896203E+00   0.197174E-01  -0.251057E+02
   197   0.728645E+04   0.892499E+00   0.199449E-01  -0.235706E+02
   198   0.730476E+04   0.889742E+00   0.201738E-01  -0.220049E+02
   199   0.732236E+04   0.887980E+00   0.204038E-01  -0.204095E+02
   200   0.733925E+04   0.887253E+00   0.206351E-01  -0.187852E+02
   201   0.735535E+04   0.887631E+00   0.208676E-01  -0.171313E+02
   202   0.737073E+04   0.889131E+00   0.211013E-01  -0.154495E+02
   203   0.738533E+04   0.891822E+00   0.213362E-01  -0.137392E+02
   204   0.739907E+04   0.895736E+00   0.215722E-01  -0.120037E+02
   205   0.741210E+04   0.900928E+00   0.218093E-01  -0.102409E+02
   206   0.742426E+04   0.907443E+00   0.220476E-01  -0.845226E+01
   207   0.743571E+04   0.915315E+00   0.222870E-01  -0.663850E+01
   208   0.744623E+04   0.924604E+00   0.225274E-01  -0.480034E+01
   209   0.745596E+04   0.935343E+00   0.227689E-01  -0.293835E+01
   210   0.746490E+04   0.947593E+00   0.230115E-01  -0.105365E+01
   211   0.747305E+04   0.961394E+00   0.232550E-01   0.853503E+00
   212   0.748027E+04   0.976784E+00   0.234996E-01   0.278195E+01
   213   0.748677E+04   0.993818E+00   0.237451E-01   0.473153E+01
   214   0.749242E+04   0.101250E+01   0.239916E-01   0.670082E+01
   215   0.749727E+04   0.103303E+01   0.242390E-01   0.868886E+01
   216   0.750126E+04   0.105523E+01   0.244873E-01   0.106960E+02
   217   0.750454E+04   0.107927E+01   0.247365E-01   0.127199E+02
   218   0.750696E+04   0.110515E+01   0.249865E-01   0.147608E+02
   219   0.750859E+04   0.113290E+01   0.252374E-01   0.168192E+02
   220   0.750944E+04   0.116265E+01   0.254891E-01   0.188906E+02
   221   0.750949E+04   0.119436E+01   0.257416E-01   0.209769E+02
   222   0.750876E+04   0.122818E+01   0.259948E-01   0.230765E+02
   223   0.750709E+04   0.126404E+01   0.262488E-01   0.251900E+02
   224   0.750478E+04   0.130195E+01   0.265034E-01   0.273133E+02
   225   0.750161E+04   0.134207E+01   0.267587E-01   0.294492E+02
   226   0.749765E+04   0.138441E+01   0.270147E-01   0.315938E+02
   227   0.749284E+04   0.142898E+01   0.272712E-01   0.337485E+02
   228   0.748730E+04   0.147579E+01   0.275284E-01   0.359114E+02
   229   0.748098E+04   0.152492E+01   0.277861E-01   0.380809E+02
   230   0.747380E+04   0.157638E+01   0.280443E-01   0.402576E+02
   231   0.746575E+04   0.163025E+01   0.283030E-01   0.424404E+02
   232   0.745700E+04   0.168648E+01   0.285622E-01   0.446278E+02
   233   0.744745E+04   0.174529E+01   0.288218E-01   0.468179E+02
   234   0.743697E+04   0.180654E+01   0.290817E-01   0.490114E+02
   235   0.742577E+04   0.187031E+01   0.293421E-01   0.512065E+02
   236   0.741371E+04   0.193662E+01   0.296027E-01   0.534030E+02
   237   0.740087E+04   0.200555E+01   0.298636E-01   0.555993E+02
   238   0.738724E+04   0.207719E+01   0.301248E-01   0.577951E+02
   239   0.737289E+04   0.215138E+01   0.303862E-01   0.599895E+02
   240   0.735761E+04   0.222822E+01   0.306478E-01   0.621801E+02
   241   0.734168E+04   0.230787E+01   0.309095E-01   0.643673E+02
   242   0.732497E+04   0.239018E+01   0.311714E-01   0.665503E+02
   243   0.730747E+04   0.247531E+01   0.314333E-01   0.687274E+02
   244   0.728919E+04   0.256320E+01   0.316952E-01   0.708990E+02
   245   0.727012E+04   0.265393E+01   0.319572E-01   0.730621E+02
   246   0.725033E+04   0.274751E+01   0.322191E-01   0.752178E+02
   247   0.722983E+04   0.284388E+01   0.324810E-01   0.773638E+02
   248   0.720854E+04   0.294341E+01   0.327427E-01   0.794999E+02
   249   0.718661E+04   0.304559E+01   0.330044E-01   0.816251E+02
   250   0.716390E+04   0.315089E+01   0.332658E-01   0.837377E+02
   251   0.714054E+04   0.325900E+01   0.335270E-01   0.858382E+02
   252   0.711633E+04   0.337016E+01   0.337880E-01   0.879251E+02
   253   0.709163E+04   0.348411E+01   0.340488E-01   0.899966E+02
   254   0.706616E+04   0.360117E+01   0.343092E-01   0.920525E+02
   255   0.703999E+04   0.372102E+01   0.345693E-01   0.940927E+02
   256   0.701319E+04   0.384403E+01   0.348290E-01   0.961169E+02
   257   0.698578E+04   0.396975E+01   0.350883E-01   0.981169E+02
   258   0.695768E+04   0.409853E+01   0.353471E-01   0.100105E+03
