#           k/h    P           
   0.200337E-01   0.361597E+05
   0.204384E-01   0.358932E+05
   0.208513E-01   0.356012E+05
   0.212725E-01   0.353487E+05
   0.217022E-01   0.350122E+05
   0.221406E-01   0.346585E+05
   0.225879E-01   0.342910E+05
   0.230442E-01   0.339731E+05
   0.235097E-01   0.335830E+05
   0.239847E-01   0.331821E+05
   0.244692E-01   0.327704E+05
   0.249635E-01   0.324061E+05
   0.254678E-01   0.319719E+05
   0.259823E-01   0.315264E+05
   0.265072E-01   0.310693E+05
   0.270426E-01   0.306553E+05
   0.275889E-01   0.301730E+05
   0.281463E-01   0.296785E+05
   0.287149E-01   0.291733E+05
   0.292949E-01   0.287108E+05
   0.298867E-01   0.281882E+05
   0.304905E-01   0.276598E+05
   0.311064E-01   0.271273E+05
   0.317348E-01   0.265928E+05
   0.323759E-01   0.261053E+05
   0.330299E-01   0.255720E+05
   0.336972E-01   0.250425E+05
   0.343779E-01   0.245187E+05
   0.350724E-01   0.240449E+05
   0.357809E-01   0.235347E+05
   0.365038E-01   0.230335E+05
   0.372412E-01   0.225420E+05
   0.379935E-01   0.221011E+05
   0.387610E-01   0.216308E+05
   0.395440E-01   0.211728E+05
   0.403429E-01   0.207277E+05
   0.411579E-01   0.203330E+05
   0.419893E-01   0.199150E+05
   0.428375E-01   0.195127E+05
   0.437029E-01   0.191275E+05
   0.445858E-01   0.187947E+05
   0.454865E-01   0.184464E+05
   0.464053E-01   0.181174E+05
   0.473428E-01   0.178062E+05
   0.482992E-01   0.175113E+05
   0.492749E-01   0.172625E+05
   0.502703E-01   0.169954E+05
   0.512858E-01   0.167406E+05
   0.523219E-01   0.164968E+05
   0.533789E-01   0.162923E+05
   0.544572E-01   0.160662E+05
   0.555573E-01   0.158462E+05
   0.566796E-01   0.156299E+05
   0.578246E-01   0.154431E+05
   0.589927E-01   0.152271E+05
   0.601845E-01   0.150084E+05
   0.614003E-01   0.147852E+05
   0.626407E-01   0.145821E+05
   0.639061E-01   0.143424E+05
   0.651971E-01   0.140899E+05
   0.665142E-01   0.138220E+05
   0.678578E-01   0.135645E+05
   0.692287E-01   0.132707E+05
   0.706272E-01   0.129685E+05
   0.720539E-01   0.126554E+05
   0.735095E-01   0.123477E+05
   0.749945E-01   0.119955E+05
   0.765095E-01   0.116253E+05
   0.780551E-01   0.112437E+05
   0.796319E-01   0.108562E+05
   0.812406E-01   0.104848E+05
   0.828817E-01   0.100925E+05
   0.845561E-01   0.970271E+04
   0.862642E-01   0.931941E+04
   0.880068E-01   0.896299E+04
   0.897847E-01   0.860444E+04
   0.915985E-01   0.826488E+04
   0.934489E-01   0.794761E+04
   0.953367E-01   0.766928E+04
   0.972626E-01   0.740327E+04
   0.992274E-01   0.716592E+04
   0.101232E+00   0.695695E+04
   0.103277E+00   0.678643E+04
   0.105363E+00   0.662683E+04
   0.107492E+00   0.648767E+04
   0.109663E+00   0.636409E+04
   0.111879E+00   0.626302E+04
   0.114139E+00   0.615642E+04
   0.116445E+00   0.605119E+04
   0.118797E+00   0.594274E+04
   0.121197E+00   0.583739E+04
   0.123645E+00   0.570919E+04
   0.126143E+00   0.556593E+04
   0.128691E+00   0.540583E+04
   0.131291E+00   0.522803E+04
   0.133943E+00   0.504398E+04
   0.136649E+00   0.483810E+04
   0.139409E+00   0.462499E+04
   0.142226E+00   0.441081E+04
   0.145099E+00   0.420911E+04
   0.148030E+00   0.400955E+04
   0.151020E+00   0.382489E+04
   0.154071E+00   0.365854E+04
   0.157184E+00   0.351928E+04
   0.160359E+00   0.339427E+04
   0.163598E+00   0.328957E+04
   0.166903E+00   0.320218E+04
   0.170275E+00   0.313394E+04
   0.173715E+00   0.306754E+04
   0.177224E+00   0.300316E+04
   0.180804E+00   0.293496E+04
   0.184457E+00   0.286365E+04
   0.188183E+00   0.277532E+04
   0.191985E+00   0.267507E+04
   0.195863E+00   0.256477E+04
   0.199820E+00   0.245306E+04
   0.203856E+00   0.233561E+04
   0.207974E+00   0.222222E+04
   0.212176E+00   0.211720E+04
   0.216462E+00   0.202380E+04
   0.220835E+00   0.194743E+04
   0.225296E+00   0.188046E+04
   0.229847E+00   0.182386E+04
   0.234490E+00   0.177345E+04
   0.239227E+00   0.172798E+04
   0.244060E+00   0.167730E+04
   0.248990E+00   0.162203E+04
   0.254020E+00   0.156076E+04
   0.259152E+00   0.149706E+04
   0.264387E+00   0.142831E+04
   0.269728E+00   0.136146E+04
   0.275177E+00   0.129958E+04
   0.280736E+00   0.124678E+04
   0.286407E+00   0.119880E+04
   0.292193E+00   0.115698E+04
   0.298096E+00   0.111877E+04
   0.304118E+00   0.108338E+04
   0.310261E+00   0.104460E+04
   0.316529E+00   0.100358E+04
   0.322923E+00   0.960793E+03
   0.329447E+00   0.917938E+03
   0.336102E+00   0.878670E+03
   0.342892E+00   0.841114E+03
   0.349819E+00   0.807466E+03
   0.356885E+00   0.776928E+03
   0.364095E+00   0.749422E+03
   0.371450E+00   0.720780E+03
   0.378954E+00   0.691718E+03
   0.386609E+00   0.662308E+03
   0.394419E+00   0.634625E+03
   0.402387E+00   0.607194E+03
   0.410516E+00   0.581748E+03
   0.418809E+00   0.558226E+03
   0.427269E+00   0.536966E+03
   0.435901E+00   0.515146E+03
   0.444706E+00   0.493896E+03
   0.453690E+00   0.473382E+03
   0.462855E+00   0.454451E+03
   0.472206E+00   0.435337E+03
